y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0.57,0.08,-0.19,85,3.6,44797.26,234,2836.95,779177.67,7,7915,0.54,FO,C,购物中心,174,T1,95,5
0.6,0.24,-0.33,85,6.6,43229.19,229,0,779177.67,6,13793,0.56,FO,C,购物中心,174,T1,95,5
0.56,0.19,-0.06,85,6.7,58658.87,252,20409.37,779177.67,4,11542,0.49,FO,C,购物中心,174,T1,95,5
0.39,0.09,-0.32,86,7.3,52703.92,198,2089.52,779177.67,11,9316,0.39,FO,C,购物中心,174,T1,95,5
0.59,0.29,-0.24,86,6.8,72693.08,275,4139.7,779177.67,10,8139,0.55,FO,C,购物中心,174,T1,95,5
0.55,0.16,-0.15,86,6.9,49263.15,274,6592.41,779177.67,17,5878,0.5,FO,C,购物中心,174,T1,95,5
0.63,-0.15,0.1,88,6.7,46353.74,292,12111.55,779177.67,5,11232,0.56,FO,C,购物中心,174,T1,95,5
0.55,0.24,0.22,88,6.9,78673.7,263,2549.03,779177.67,14,7990,0.53,FO,C,购物中心,174,T1,95,5
0.54,0.17,-0.42,89,6.7,42716.12,262,2124.95,779177.67,11,14673,0.55,FO,C,购物中心,174,T1,95,5
0.55,0.2,-0.18,100,6.7,57184.69,259,4282.19,779177.67,15,19074,0.54,FO,C,购物中心,174,T1,95,5
0.59,0.29,-0.33,100,6.8,59869.46,247,1934.73,779177.67,12,8298,0.59,FO,C,购物中心,174,T1,95,5
0.57,0.14,-0.4,89,7.1,34960.78,249,3842.56,779177.67,9,8047,0.57,FO,C,购物中心,174,T1,95,5
0.79,0.42,0.32,86,4.2,92685.47,545,10135.5,721093.22,0,0,0.98,CS,A,购物中心,132.5,T1,67,6
0.78,0.41,0.28,86,4.3,90015.95,537,7431.35,721093.22,0,0,0.98,CS,A,购物中心,132.5,T1,67,6
0.78,0.4,0.22,86,4.4,85633.48,552,14899.87,721093.22,0,0,0.98,CS,A,购物中心,132.5,T1,67,6
